Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
Data Scientist/Data Analyst,"$80,000 /yr (est.)",3.6,"Holman
3.6","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,Retail & Wholesale,80000.0,Holma, NJ,99
Data Scientist - 298841,"$103,371 /yr (est.)",4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,Retail & Wholesale,103371.0,Grainge, IL,96
Biological Data Scientist,"$103,335 /yr (est.)",4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,Education,103335.0,University of California San Francisc, CA,159
Junior Data Scientist,"$57,500 /yr (est.)",3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Information Technology,57500.0,Augra, WI,9
Product Data Scientist,"$124,350 /yr (est.)",3.6,"PayPal
3.6","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology,124350.0,PayPa, NY,7
"Data Scientist, Analytics","$99,000 /yr (est.)",3.3,"Overstock.com Inc.
3.3","Midvale, UT",1001 to 5000 Employees,1999,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Wholesale,99000.0,Overstock.com Inc, UT,24
Data Scientist,"$91,500 /yr (est.)",4.3,"The Rector & Visitors of the University of Virginia
4.3","Charlottesville, VA",10000+ Employees,1819,College / University,Colleges & Universities,Education,Education,91500.0,The Rector & Visitors of the University of Virgini, VA,204
Associate Scientist - Data Analytics,"$135,500 /yr (est.)",4.2,"SLAC National Accelerator Laboratory
4.2","Menlo Park, CA",1001 to 5000 Employees,1962,Government,National Agencies,Government & Public Administration,Government & Public Administration,135500.0,SLAC National Accelerator Laborator, CA,61
Data Scientist,"$106,869 /yr (est.)",4.2,"Hyperspace Ventures
4.2","Durham, NC",1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Information Technology,106869.0,Hyperspace Venture, NC,6
Data Scientist,"$109,987 /yr (est.)",3.2,"ACI Federal Inc
3.2","Bethesda, MD",501 to 1000 Employees,2014,Company - Private,National Agencies,Government & Public Administration,Government & Public Administration,109987.0,ACI Federal In, MD,9
Data Scientist,$33.25 /hr (est.),3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,Information Technology,33.25,Parson,Remote,79
Data Scientist,$45.00 /hr (est.),5.0,"Aurora Technical Systems, LLC",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,-1,45.0,Aurora Technical Systems,Remote,-1
Data Scientist,"$124,500 /yr (est.)",3.9,"Charles Schwab
3.9","San Francisco, CA",10000+ Employees,1973,Company - Public,Investment & Asset Management,Financial Services,Financial Services,124500.0,Charles Schwa, CA,50
